Timestamp;Pressure (hPa);Temperature (°C);Humidity (%);Bme280 Altitude (m);Speed (m/s);Relative Vertical Acceleration (m/s^2);Absolute Acceleration X (m/s^2);Absolute Acceleration Y (m/s^2);Absolute Acceleration Z (m/s^2);Rate of Rotation X (°/s);Rate of Rotation Y (°/s);Rate of Rotation Z (°/s);Rotation X (°);Rotation Y (°);Motor Rotation (°);Luminance at 0° (lux);Luminance at 120° (lux);Luminance at 240° (lux);Calculated Light Angle (°);Solar Panel Voltage (V);Gps Lat (°);Gps Lon (°);Gps Altitude (m);Errors;Status
1011;955,41;21,7;0,25;493,07;;;;;-9,102754711914063;;;;;;;;;;;;None;None;None;;ground_level
2021;955,26;21,59;0,25;494,38;;;;;-9,150638745117186;;;;;;;;;;;;None;None;None;;ground_level
3031;955,31;21,62;0,25;493,95;;;;;-9,088389501953124;;;;;;;;;;;;None;None;None;;ground_level
4041;955,37;21,65;0,25;493,42;;;;;-9,162609753417968;;;;;;;;;;;;None;None;None;;ground_level
5052;955,25;21,56;0,25;494,47;;;;;-9,047688073730468;;;;;;;;;;;;None;None;None;;ground_level
6067;955,3;21,59;0,25;494,03;;;;;-9,124302526855468;;;;;;;;;;;;None;None;None;;ground_level
7077;955,37;21,63;0,25;493,42;;;;;-9,172186560058593;;;;;;;;;;;;None;None;None;;ground_level
8087;955,24;21,54;0,25;494,56;;;;;-9,050082275390624;;;;;;;;;;;;None;None;None;;ground_level
9097;955,29;21,58;0,25;494,12;;;;;-9,095572106933593;;;;;;;;;;;;None;None;None;;ground_level
10107;955,36;21,61;0,25;493,51;;;;;-9,05965908203125;;;;;;;;;;;;None;None;None;;ground_level
11121;955,24;21,53;0,25;494,56;;;;;-9,141061938476563;;;;;;;;;;;;None;None;None;;ground_level
12131;955,29;21,56;0,25;494,12;-0,44;None;1,9752163696289062;6,066907006835937;-9,217676391601563;29,963236641221375;-1,1837175572519083;-0,3395038167938932;32,76;-10,15;;;;;;;None;None;None;7,F;ascending
12632;955,44;21,68;0,25;492,81;-2,61;-0,004;2,080561242675781;6,105214233398437;-9,047688073730468;30,138809160305346;-1,038679389312977;-0,17919847328244276;33,33;-10,79;;;;;;;None;None;None;7;ascending
13133;955,35;21,61;0,25;493,6;1,58;0,008;2,003946789550781;6,0908490234374995;-9,203311181640624;30,06247328244275;-0,7486030534351146;-0,5303435114503817;32,89;-10,29;;;;;;;None;None;None;7;descending
13638;955,38;21,62;0,25;493,33;-0,53;-0,004;2,0829554443359375;6,081272216796875;-9,064447485351561;39,33587786259542;0,9007633587786259;0,6106870229007634;33,18;-10,8;0;3,3333;0,0;0,0;None;None;None;None;None;7;descending
14139;955,38;21,62;0,25;493,33;0,0;0,001;2,1021090576171875;6,086060620117187;-9,1554271484375;39,099236641221374;1,083969465648855;1,0763358778625953;32,94;-10,82;0;3,3333;0,0;0,0;None;0,603;None;None;None;7;descending
14640;955,4;21,63;0,25;493,16;-0,34;-0,001;1,9943699829101562;6,131550451660156;-9,057264880371093;39,89312977099237;1,3511450381679388;0,8625954198473282;33,47;-10,33;0;3,3333;0,0;0,0;None;0,603;None;None;None;7;descending
15141;955,21;21,49;0,25;494,82;3,31;0,007;2,003946789550781;6,0908490234374995;-9,114725720214842;39,458015267175576;1,282442748091603;1,16793893129771;33,13;-10,36;0;3,3333;0,0;0,0;None;0,604;None;None;None;7;descending
15643;955,12;21,44;0,25;495,61;1,57;-0,003;2,0877438476562498;6,0525417968749995;-9,169792358398437;41,61068702290076;0,07633587786259542;0,6793893129770993;32,76;-10,76;0;3,3333;0,0;0,0;None;0,603;None;None;None;7;descending
16144;955,2;21,49;0,25;494,91;-1,4;-0,006;2,01112939453125;6,045359191894531;-9,047688073730468;40,030534351145036;0,9541984732824428;0,549618320610687;33,11;-10,47;0;3,3333;0,0;0,0;None;0,603;None;None;None;7;descending
16645;955,26;21,52;0,25;494,38;-1,06;0,001;1,9991583862304687;6,081272216796875;-9,172186560058593;39,900763358778626;0,8625954198473282;0,7786259541984732;32,94;-10,3;0;3,3333;0,0;0,0;None;0,0;None;None;None;7;descending
17146;955,26;21,52;0,25;494,38;0,0;0,002;2,085349645996094;6,275202551269531;-9,337386474609374;39,63358778625954;0,42748091603053434;0,6183206106870229;33,26;-10,5;0;3,3333;0,0;0,0;None;0,604;None;None;None;7;descending
17647;955,3;21,55;0,25;494,03;-0,7;-0,001;2,123656872558594;6,114791040039062;-9,081206896972656;40,19847328244275;0,6717557251908397;0,9923664122137404;33,25;-10,98;0;3,3333;0,0;0,0;None;0,604;None;None;None;7;descending
18148;955,13;21,44;0,25;495,52;2,97;0,007;2,104503259277344;6,117185241699218;-9,119514123535156;40,35114503816794;0,6946564885496184;0,8625954198473282;33,17;-10,85;0;3,3333;0,0;0,0;None;0,604;None;None;None;7;descending
18650;955,17;21,47;0,25;495,17;-0,7;-0,007;1,9967641845703124;6,121973645019531;-9,150638745117186;39,97709923664122;0,6641221374045801;0,732824427480916;33,17;-10,28;0;3,3333;0,0;0,0;None;0,604;None;None;None;7;descending
19151;955,24;21,51;0,25;494,56;-1,22;-0,001;2,0350714111328125;6,172251879882812;-9,184157568359375;40,23664122137404;0,8091603053435115;0,816793893129771;33,27;-10,42;0;3,3333;0,0;0,0;None;0,603;None;None;None;7;descending
19652;955,29;21,54;0,25;494,12;-0,88;0,001;2,0661960327148434;6,227318518066406;-9,045293872070312;37,88549618320611;0,20610687022900764;0,37404580152671757;33,87;-10,66;0;3,3333;0,0;0,0;None;0,603;None;None;None;7;descending
20153;955,29;21,54;0,25;494,12;0,0;0,002;1,905784521484375;6,143521459960938;-9,172186560058593;40,18320610687023;0,44274809160305345;0,8015267175572519;33,26;-9,79;0;3,3333;0,0;0,0;None;0,0;None;None;None;7;descending
20654;955,32;21,55;0,25;493,86;-0,52;-0,001;1,9776105712890624;6,160280871582031;-9,129090930175781;40,50381679389313;0,7251908396946565;0,8015267175572519;33,4;-10,18;0;3,3333;0,0;0,0;None;0,604;None;None;None;7;descending
21155;955,16;21,43;0,25;495,26;2,79;0,007;2,0638018310546875;6,179434484863281;-9,165003955078124;39,93893129770992;0,7938931297709924;0,6793893129770993;33,34;-10,58;0;3,3333;0,0;0,0;None;0,603;None;None;None;7;descending
21656;955,22;21,48;0,25;494,73;-1,06;-0,008;2,0254946044921875;6,248866333007812;-9,133879333496093;40,3206106870229;0,8396946564885496;0,8778625954198473;33,74;-10,37;0;3,3333;0,0;0,0;None;0,0;None;None;None;7;descending
22157;955,28;21,52;0,25;494,21;-1,04;0,0;2,114080065917969;6,1076084350585935;-9,126696728515624;39,97709923664122;0,6870229007633588;0,9694656488549618;33,1;-10,9;0;3,3333;0,0;0,0;None;0,604;None;None;None;7;descending
22658;955,28;21,52;0,25;494,21;0,0;0,002;2,0374656127929685;6,169857678222656;-9,143456140136719;39,87022900763359;0,3511450381679389;0,19083969465648856;33,37;-10,47;0;3,3333;0,0;0,0;None;0,603;None;None;None;7;descending
23159;955,32;21,55;0,25;493,86;-0,7;-0,001;2,013523596191406;6,133944653320312;-9,138667736816405;38,33587786259542;-0,5114503816793893;0,3816793893129771;33,24;-10,37;0;3,3333;0,0;0,0;None;0,604;None;None;None;7;descending
23661;955,23;21,48;0,25;494,64;1,55;0,004;2,039859814453125;6,136338854980468;-9,057264880371093;40,152671755725194;0,3969465648854962;1,0381679389312977;33,46;-10,56;0;3,3333;0,0;0,0;None;0,603;None;None;None;7;descending
24162;955,08;21,38;0,25;495,95;2,61;0,002;1,9776105712890624;6,050147595214844;-9,057264880371093;40,38167938931298;0,5877862595419847;1,0916030534351144;33,13;-10,29;0;3,3333;0,0;0,0;None;0,0;None;None;None;7;descending
24663;955,17;21,44;0,25;495,17;-1,56;-0,008;2,0781670410156248;6,081272216796875;-9,100360510253905;40,595419847328245;1,0610687022900764;0,7633587786259542;33,08;-10,75;0;3,3333;0,0;0,0;None;0,604;None;None;None;7;descending
25164;955,24;21,49;0,25;494,56;-1,22;0,001;1,9632453613281249;6,105214233398437;-8,95670841064453;40,38931297709924;0,9770992366412213;0,9770992366412213;33,66;-10,27;0;3,3333;0,0;0,0;None;0,604;None;None;None;7;descending
25666;955,24;21,49;0,25;494,56;0,0;0,002;2,0781670410156248;6,081272216796875;-9,117119921875;42,97709923664122;0,3511450381679389;1,3740458015267176;33,04;-10,74;0;3,3333;0,0;0,0;None;0,604;None;None;None;7;descending
26167;955,29;21,51;0,25;494,12;-0,88;-0,002;2,085349645996094;6,114791040039062;-9,054870678710937;39,98473282442748;0,9923664122137404;0,7938931297709924;33,35;-10,81;0;3,3333;0,0;0,0;None;0,604;None;None;None;7;descending
26668;955,14;21,4;0,25;495,43;2,61;0,007;2,013523596191406;6,1626750732421876;-9,042899670410156;40,36641221374046;0,4351145038167939;0,5114503816793893;33,63;-10,43;0;3,3333;0,0;0,0;None;0,0;None;None;None;7;descending
27170;955,05;21,33;0,25;496,22;1,57;-0,002;1,9536685546875;6,098031628417968;-9,114725720214842;40,725190839694655;0,5572519083969466;1,213740458015267;33,19;-10,1;0;3,3333;0,0;0,0;None;0,604;None;None;None;7;descending
27671;955,15;21,4;0,24;495,34;-1,76;-0,007;2,0183119995117185;6,186617089843749;-9,13627353515625;40,56488549618321;0,11450381679389313;0,42748091603053434;33,47;-10,37;0;3,3333;0,0;0,0;None;0,603;None;None;None;7;descending
28172;955,23;21,45;0,25;494,64;-1,4;0,001;2,04943662109375;6,086060620117187;-9,062053283691405;41,16030534351145;1,3129770992366412;2,3587786259541983;33,23;-10,63;0;3,3333;0,0;0,0;None;0,603;None;None;None;7;descending
28673;955,23;21,45;0,25;494,64;0,0;0,003;2,01112939453125;5,9950809570312495;-9,138667736816405;40,37404580152672;0,44274809160305345;1,0076335877862594;32,65;-10,43;0;3,3333;0,0;0,0;None;0,604;None;None;None;7;descending
29174;955,28;21,49;0,25;494,21;-0,86;-0,002;1,9201497314453124;6,076483813476562;-9,126696728515624;40,12213740458015;0,5267175572519084;0,9923664122137404;33,09;-9,93;0;3,3333;0,0;0,0;None;0,0;None;None;None;7;descending
29675;955,12;21,37;0,25;495,61;2,79;0,007;2,128445275878906;6,030993981933594;-9,064447485351561;40,06106870229008;0,7251908396946565;0,9465648854961832;32,93;-11,06;0;3,3333;0,0;0,0;None;0,604;None;None;None;7;descending
30176;955,15;21,39;0,25;495,34;-0,54;-0,007;2,0733786376953125;6,119579443359375;-9,141061938476563;40,19847328244275;0,732824427480916;0,9618320610687023;33,14;-10,67;0;3,3333;0,0;0,0;None;0,604;None;None;None;7;descending
30678;955,22;21,44;0,25;494,73;-1,22;-0,001;2,2074539306640624;6,189011291503906;-9,212887988281249;40,06870229007634;0,7099236641221374;0,7099236641221374;33,16;-11,25;0;3,3333;0,0;0,0;None;0,604;None;None;None;7;descending
31179;955,27;21,47;0,25;494,3;-0,86;0,001;2,0542250244140625;6,263231542968749;-9,117119921875;40,0763358778626;0,8396946564885496;0,7557251908396947;33,83;-10,52;0;3,3333;0,0;0,0;None;0,604;None;None;None;7;descending
31680;955,27;21,47;0,25;494,3;0,0;0,002;2,080561242675781;5,992686755371094;-9,294290844726563;40,30534351145038;0,8854961832061069;0,7099236641221374;32,18;-10,65;0;3,3333;0,0;0,0;None;0,604;None;None;None;7;descending
32181;955,31;21,49;0,25;493,95;-0,7;-0,001;2,1308394775390624;5,987898352050781;-9,162609753417968;40,25954198473283;0,6412213740458015;0,7786259541984732;32,48;-11,02;0;3,3333;0,0;0,0;None;0,604;None;None;None;7;descending
32682;955,15;21,37;0,25;495,34;2,77;0,007;2,0446482177734375;6,112396838378906;-9,0788126953125;40,099236641221374;0,8778625954198473;0,7099236641221374;33,3;-10,58;0;3,3333;0,0;0,0;None;0,604;None;None;None;7;descending
33183;955,22;21,42;0,25;494,73;-1,22;-0,008;2,1499930908203124;6,121973645019531;-9,085995300292968;40,152671755725194;0,7251908396946565;0,8091603053435115;33,25;-11,1;0;3,3333;0,0;0,0;None;0,0;None;None;None;7;descending
33684;955,28;21,46;0,25;494,21;-1,04;0,0;2,020706201171875;6,153098266601562;-9,054870678710937;40,17557251908397;0,6717557251908397;0,6793893129770993;33,55;-10,46;0;3,3333;0,0;0,0;None;0,604;None;None;None;7;descending
34187;955,32;21,49;0,25;493,86;-0,7;0,001;2,1068974609374997;6,121973645019531;-9,13627353515625;40,36641221374046;0,8396946564885496;0,7862595419847328;33,14;-10,85;0;3,3333;0,0;0,0;None;0,604;None;None;None;7;descending
34688;955,32;21,49;0,25;493,86;0,0;0,001;2,1619640991210938;6,210559106445312;-9,112331518554686;40,13740458015267;0,4580152671755725;0,8473282442748091;33,55;-11,09;0;3,3333;0,0;0,0;None;0,603;None;None;None;7;descending
35189;955,27;21,45;0,25;494,3;0,88;0,002;2,0183119995117185;6,078878015136718;-9,153032946777342;40,213740458015266;0,7786259541984732;0,8015267175572519;32,97;-10,41;0;3,3333;0,0;0,0;None;0,604;None;None;None;7;descending
35691;955,11;21,34;0,25;495,69;2,77;0,004;2,1691467041015624;6,026205578613281;-9,112331518554686;40,2442748091603;0,7786259541984732;0,8015267175572519;32,76;-11,23;0;3,3333;0,0;0,0;None;0,604;None;None;None;7;descending
36192;955,19;21,4;0,25;494,99;-1,4;-0,008;2,1308394775390624;6,042964990234375;-9,150638745117186;40,38931297709924;0,6412213740458015;0,7175572519083969;32,75;-11,0;0;3,3333;0,0;0,0;None;0,604;None;None;None;7;descending
36693;955,25;21,44;0,25;494,47;-1,04;0,001;2,1595698974609374;6,172251879882812;-9,153032946777342;40,14503816793893;0,732824427480916;0,8473282442748091;33,28;-11,07;0;3,3333;0,0;0,0;None;0,604;None;None;None;7;descending
37194;955,25;21,44;0,25;494,47;0,0;0,002;2,1356278808593747;6,1459156616210935;-9,107543115234375;40,14503816793893;0,7633587786259542;1,0305343511450382;33,3;-11,0;0;3,3333;0,0;0,0;None;0,0;None;None;None;7;descending
37695;955,3;21,47;0,25;494,03;-0,88;-0,002;1,9512743530273435;6,028599780273437;-9,215282189941405;38,87786259541985;0,4732824427480916;0,4122137404580153;32,62;-10,05;0;3,3333;0,0;0,0;None;0,604;None;None;None;7;descending
38196;955,13;21,35;0,25;495,52;2,97;0,008;2,059013427734375;6,023811376953125;-9,095572106933593;40,404580152671755;1,1603053435114503;0,732824427480916;32,86;-10,69;0;3,3333;0,0;0,0;None;0,604;None;None;None;7;descending
38697;955,0;21,27;0,25;496,65;2,26;-0,001;1,9776105712890624;6,086060620117187;-9,318232861328125;40,29007633587786;0,45038167938931295;0,648854961832061;32,57;-10,08;0;3,3333;0,0;0,0;None;0,604;None;None;None;7;descending
39198;955,11;21,34;0,25;495,69;-1,92;-0,008;1,9943699829101562;6,1626750732421876;-9,006986645507812;37,64885496183206;1,16793893129771;-0,6793893129770993;33,74;-10,36;0;3,3333;0,0;0,0;None;0,604;None;None;None;7;descending
39699;955,19;21,4;0,25;494,99;-1,4;0,001;2,2936451904296873;6,0525417968749995;-9,157821350097656;40,02290076335878;0,022900763358778626;0,7022900763358778;32,66;-11,8;0;3,3333;0,0;0,0;None;0,603;None;None;None;7;descending
40200;955,19;21,4;0,25;494,99;0,0;0,003;2,0087351928710935;6,114791040039062;-9,1554271484375;40,229007633587784;0,6183206106870229;0,816793893129771;33,12;-10,34;0;3,3333;0,0;0,0;None;0,604;None;None;None;7;descending
40701;955,25;21,43;0,25;494,47;-1,04;-0,002;2,070984436035156;6,064512805175781;-9,107543115234375;40,152671755725194;0,6870229007633588;0,8396946564885496;33,0;-10,72;0;3,3333;0,0;0,0;None;0,604;None;None;None;7;descending
41202;955,1;21,32;0,25;495,78;2,61;0,007;1,8818425048828125;6,129156249999999;-9,093177905273437;40,083969465648856;0,5877862595419847;0,8702290076335878;33,43;-9,74;0;3,3333;0,0;0,0;None;0,0;None;None;None;7;descending
41703;955,12;21,33;0,25;495,61;-0,34;-0,006;2,1452046874999997;6,124367846679687;-9,083601098632812;40,35114503816794;0,7709923664122137;0,7251908396946565;33,27;-11,08;0;3,3333;0,0;0,0;None;0,603;None;None;None;7;descending
42204;955,19;21,39;0,25;494,99;-1,24;-0,002;1,9991583862304687;6,112396838378906;-9,141061938476563;40,213740458015266;0,648854961832061;0,8244274809160306;33,15;-10,3;0;3,3333;0,0;0,0;None;0,604;None;None;None;7;descending
42705;955,25;21,42;0,25;494,47;-1,04;0,0;2,123656872558594;6,0884548217773435;-9,124302526855468;40,343511450381676;0,816793893129771;0,6183206106870229;33,02;-10,96;0;3,3333;0,0;0,0;None;0,604;None;None;None;7;descending
43206;955,25;21,42;0,25;494,47;0,0;0,002;2,003946789550781;6,0884548217773435;-9,062053283691405;39,83969465648855;0,6870229007633588;0,7709923664122137;33,27;-10,4;0;3,3333;0,0;0,0;None;0,604;None;None;None;7;descending
43707;955,28;21,44;0,25;494,21;-0,52;-0,001;2,042254016113281;6,076483813476562;-9,066841687011719;40,06106870229008;0,7175572519083969;0,7557251908396947;33,18;-10,6;0;3,3333;0,0;0,0;None;0,605;None;None;None;7;descending
