Timestamp;Pressure (hPa);Temperature (°C);Humidity (%);Bme280 Altitude (m);Speed (m/s);Relative Vertical Acceleration (m/s^2);Absolute Acceleration X (m/s^2);Absolute Acceleration Y (m/s^2);Absolute Acceleration Z (m/s^2);Rate of Rotation X (°/s);Rate of Rotation Y (°/s);Rate of Rotation Z (°/s);Rotation X (°);Rotation Y (°);Motor Rotation (°);Luminance at 0° (lux);Luminance at 120° (lux);Luminance at 240° (lux);Calculated Light Angle (°);Solar Panel Voltage (V);Gps Lat (°);Gps Lon (°);Gps Altitude (m);Errors;Status
1010;955,37;25,42;0,27;493,42;;;;;-9,320627062988281;;;;;;;;;;;;None;None;None;;ground_level
2021;955,36;25,42;0,27;493,51;;;;;-9,253589416503905;;;;;;;;;;;;None;None;None;;ground_level
3031;955,37;25,43;0,27;493,42;;;;;-9,229647399902344;;;;;;;;;;;;None;None;None;;ground_level
4041;955,39;25,43;0,27;493,25;;;;;-9,22485899658203;;;;;;;;;;;;None;None;None;;ground_level
5050;955,38;25,42;0,27;493,33;;;;;-9,200916979980468;;;;;;;;;;;;None;None;None;;ground_level
6066;955,39;25,43;0,27;493,25;;;;;-9,327809667968749;;;;;;;;;;;;None;None;None;;ground_level
7077;955,38;25,44;0,27;493,33;;;;;-9,212887988281249;;;;;;;;;;;;None;None;None;;ground_level
8087;955,36;25,44;0,27;493,51;;;;;-9,368511096191405;;;;;;;;;;;;None;None;None;;ground_level
9097;955,38;25,45;0,27;493,33;;;;;-9,325415466308593;;;;;;;;;;;;None;None;None;;ground_level
10107;955,38;25,46;0,27;493,33;;;;;-9,327809667968749;;;;;;;;;;;;None;None;None;;ground_level
11121;955,37;25,45;0,27;493,42;;;;;-9,306261853027344;;;;;;;;;;;;None;None;None;;ground_level
12131;955,38;25,47;0,27;493,33;-0,09;None;1,6232687255859375;6,059724401855468;-9,323021264648437;30,535755725190842;-0,7333358778625955;-0,3013358778625955;32,63;-8,31;;;;;;;None;None;None;7,F,1,2;ascending
12632;955,3;25,44;0,27;494,03;1,4;0,003;1,5442600708007812;6,021417175292968;-9,287108239746093;30,36018320610687;-1,038679389312977;-0,2250000000000001;32,6;-7,94;;;;;;;None;None;None;7,1,2;ascending
13133;955,33;25,46;0,27;493,77;-0,52;-0,004;1,6160861206054686;6,045359191894531;-9,366116894531249;30,757129770992368;-0,7257022900763359;-0,2402671755725192;32,46;-8,25;;;;;;;None;None;None;7,1,2;ascending
13634;955,35;25,47;0,27;493,6;-0,34;0,0;1,6112977172851561;6,042964990234375;-9,222464794921875;30,711328244274807;-0,9699770992366412;-0,21736641221374065;32,84;-8,31;;;;;;;None;None;None;7,1,2;ascending
14135;955,35;25,47;0,27;493,6;0,0;0,001;1,6256629272460936;6,054935998535156;-9,239224206542968;30,49758778625954;-0,8631068702290077;-0,17919847328244276;32,84;-8,37;;;;;;;None;None;None;7,1,2;ascending
14636;955,36;25,48;0,27;493,51;-0,18;-0,0;1,6400281372070311;6,047753393554687;-9,277531433105468;30,573923664122137;-1,0157786259541985;-0,18683206106870243;32,7;-8,42;;;;;;;None;None;None;7,1,2;ascending
15137;955,34;25,46;0,27;493,68;0,34;0,001;1,6017209106445311;6,023811376953125;-9,315838659667968;30,627358778625958;-0,8249389312977099;-0,2250000000000001;32,51;-8,22;;;;;;;None;None;None;7,1,2;ascending
15639;955,33;25,46;0,27;493,77;0,18;-0,0;1,5729904907226562;6,078878015136718;-9,246406811523437;30,711328244274807;-0,9470763358778627;-0,18683206106870243;32,95;-8,09;;;;;;;None;None;None;7,1,2;ascending
16140;955,34;25,47;0,27;493,68;-0,18;-0,001;1,5586252807617187;6,093243225097656;-9,210493786621093;30,43651908396947;-1,038679389312977;-0,31660305343511463;33,12;-8,03;;;;;;;None;None;None;7,1,2;ascending
16641;955,36;25,49;0,27;493,51;-0,34;-0,0;1,5969325073242187;6,078878015136718;-9,222464794921875;30,780030534351145;-0,9928778625954199;-0,39293893129770996;33,0;-8,23;;;;;;;None;None;None;7,1,2;descending
17145;955,36;25,49;0,27;493,51;0,0;0,001;1,6112977172851561;5,980715747070312;-9,344569079589844;40,29007633587786;0,6641221374045801;0,8244274809160306;32,24;-8,26;0;0;0;0;0;None;None;None;None;1,7,2;descending
