Timestamp;Pressure (hPa);Temperature (°C);Humidity (%);Bme280 Altitude (m);Speed (m/s);Relative Vertical Acceleration (m/s^2);Absolute Acceleration X (m/s^2);Absolute Acceleration Y (m/s^2);Absolute Acceleration Z (m/s^2);Rate of Rotation X (°/s);Rate of Rotation Y (°/s);Rate of Rotation Z (°/s);Rotation X (°);Rotation Y (°);Motor Rotation (°);Luminance at 0° (lux);Luminance at 120° (lux);Luminance at 240° (lux);Calculated Light Angle (°);Solar Panel Voltage (V);Gps Lat (°);Gps Lon (°);Gps Altitude (m);Errors;Status
1011;955,42;24,1;0,22;492,99;;;;;-10,596736547851561;;;;;;;;;;;;None;None;None;;ground_level
2021;955,24;23,97;0,22;494,56;;;;;-11,781866369628906;;;;;;;;;;;;None;None;None;;ground_level
3031;955,29;24,0;0,22;494,12;;;;;-10,24000050048828;;;;;;;;;;;;None;None;None;;ground_level
4042;955,35;24,03;0,22;493,6;;;;;-11,008539233398437;;;;;;;;;;;;None;None;None;;ground_level
5052;955,34;23,99;0,22;493,68;;;;;-9,34696328125;;;;;;;;;;;;None;None;None;;ground_level
6067;955,36;24,01;0,22;493,51;;;;;-9,04050546875;;;;;;;;;;;;None;None;None;;ground_level
7077;955,39;24,04;0,23;493,25;;;;;-9,464279162597656;;;;;;;;;;;;None;None;None;;ground_level
8087;955,29;23,96;0,23;494,12;;;;;-9,334992272949219;;;;;;;;;;;;None;None;None;;ground_level
9097;955,33;23,98;0,22;493,77;;;;;-9,7683427734375;;;;;;;;;;;;None;None;None;;ground_level
10107;955,37;24,01;0,23;493,42;;;;;-2,559401574707031;;;;;;;;;;;;None;None;None;;ground_level
11121;955,38;24,0;0,23;493,33;;;;;-8,451531860351562;;;;;;;;;;;;None;None;None;;ground_level
12131;955,37;24,02;0,23;493,42;0,09;None;2,664746447753906;4,955997436523437;-11,954248889160155;19,01667175572519;-52,60356488549618;-11,415839694656489;22,03;-11,64;;;;;;;None;None;None;7,F,1;ascending
12632;955,41;24,31;0,23;493,07;-0,7;-0,002;2,980781066894531;3,749319799804687;-12,66053837890625;-118,14363358778625;1,5033053435114505;-26,39293893129771;16,08;-12,72;;;;;;;None;None;None;7,1;ascending
13133;955,42;24,27;0,23;492,99;-0,16;0,001;2,5426421630859375;7,012616662597656;-9,710881933593749;53,482320610687026;30,549106870229007;6,675763358778626;34,94;-11,98;;;;;;;None;None;None;7;descending
13637;955,43;24,22;0,23;492,9;-0,18;-0,0;2,896984008789062;5,623979699707031;-11,494562170410155;25,870229007633586;-47,74809160305343;-3,2977099236641223;25,38;-12,76;0;0;0;0;None;None;None;None;None;7;descending
14138;955,43;24,22;0,23;492,9;0,0;0,0;2,5258827514648434;4,110844250488281;-8,729259252929687;48,76335877862596;-38,69465648854962;15,86259541984733;24,34;-14,67;0;3,3333;0;0;None;0,603;None;None;None;7;descending
14639;955,42;24,2;0,23;492,99;0,18;0,0;2,5378537597656248;3,268085266113281;-11,202469567871093;75,16793893129771;-84,80152671755725;25,69465648854962;15,88;-12,27;0;3,3333;0;0;None;0,602;None;None;None;7;descending
15140;955,38;24,14;0,22;493,33;0,68;0,001;2,8562825805664063;5,025429284667968;-9,938331091308592;16,786259541984734;-63,152671755725194;-26,015267175572518;25,92;-14,38;0;3,3333;0;0;None;0,603;None;None;None;7;descending
15641;955,2;24,0;0,22;494,91;3,15;0,005;2,959233251953125;6,205770703124999;-8,322244970703125;53,44274809160305;1,366412213740458;19,061068702290076;35,09;-15,91;0;3,3333;0;0;None;0,603;None;None;None;7;descending
16142;955,26;24,02;0,22;494,38;-1,06;-0,008;2,9472622436523435;4,44363828125;-10,007762939453125;37,14503816793893;-1,099236641221374;2,099236641221374;23,07;-15,06;0;3,3333;0;0;None;0,0;None;None;None;7;descending
16643;955,3;24,04;0,22;494,03;-0,7;0,001;2,81558115234375;3,6583401367187496;-10,58476553955078;12,305343511450381;-25,740458015267176;5,190839694656488;18,47;-14,11;0;3,3333;0;0;None;0,602;None;None;None;7;descending
17144;955,3;24,04;0,22;494,03;0,0;0,001;2,882618798828125;5,030217687988281;-9,402029919433593;40,2442748091603;0,45038167938931295;3,2977099236641223;27,09;-15,13;0;3,3333;0;0;None;0,603;None;None;None;7;descending
17645;955,34;24,05;0,22;493,68;-0,7;-0,001;2,9472622436523435;5,073313317871094;-9,588777648925781;39,81679389312977;0,8396946564885496;0,8091603053435115;26,83;-15,2;0;3,3333;0;0;None;0,602;None;None;None;7;descending
18146;955,19;23,94;0,22;494,99;2,61;0,007;2,8850130004882812;5,123591552734375;-9,593566052246093;39,908396946564885;0,732824427480916;0,9312977099236641;27,09;-14,86;0;3,3333;0;0;None;0,602;None;None;None;7;descending
18647;955,2;23,95;0,22;494,91;-0,16;-0,006;2,887407202148437;5,623979699707031;-8,781931689453124;43,48854961832061;14,030534351145038;-0,3435114503816794;31,31;-15,48;0;3,3333;0;0;None;0,603;None;None;None;7;descending
