Timestamp;Pressure (hPa);Temperature (°C);Humidity (%);Bme280 Altitude (m);Speed (m/s);Relative Vertical Acceleration (m/s^2);Absolute Acceleration X (m/s^2);Absolute Acceleration Y (m/s^2);Absolute Acceleration Z (m/s^2);Rate of Rotation X (°/s);Rate of Rotation Y (°/s);Rate of Rotation Z (°/s);Rotation X (°);Rotation Y (°);Motor Rotation (°);Luminance at 0° (lux);Luminance at 120° (lux);Luminance at 240° (lux);Calculated Light Angle (°);Solar Panel Voltage (V);Gps Lat (°);Gps Lon (°);Gps Altitude (m);Errors;Status
1010;955,41;21,52;0,26;493,07;;;;;-8,923189587402343;;;;;;;;;;;;None;None;None;;ground_level
2021;955,29;21,43;0,26;494,12;;;;;-8,968679418945312;;;;;;;;;;;;None;None;None;;ground_level
3031;955,33;21,47;0,27;493,77;;;;;-9,114725720214842;;;;;;;;;;;;None;None;None;;ground_level
4041;955,35;21,5;0,29;493,6;;;;;-9,042899670410156;;;;;;;;;;;;None;None;None;;ground_level
5054;955,18;21,39;0,3;495,08;;;;;-8,798691101074219;;;;;;;;;;;;None;None;None;;ground_level
6070;955,25;21,45;0,3;494,47;;;;;-8,91840118408203;;;;;;;;;;;;None;None;None;;ground_level
7080;955,34;21,52;0,3;493,68;;;;;-8,985438830566405;;;;;;;;;;;;None;None;None;;ground_level
8090;955,24;21,46;0,29;494,56;;;;;-9,035717065429687;;;;;;;;;;;;None;None;None;;ground_level
9100;955,29;21,5;0,29;494,12;;;;;-9,014169250488282;;;;;;;;;;;;None;None;None;;ground_level
10111;955,36;21,54;0,28;493,51;;;;;-8,939948999023438;;;;;;;;;;;;None;None;None;;ground_level
11124;955,25;21,47;0,29;494,47;;;;;-9,09796630859375;;;;;;;;;;;;None;None;None;;ground_level
12135;955,29;21,51;0,29;494,12;-0,35;None;2,099714855957031;6,232106921386718;-8,966285217285156;30,36781679389313;-0,8249389312977099;-0,3013358778625955;34,09;-10,88;;;;;;;None;None;None;7,F;ascending
12635;955,41;21,61;0,28;493,07;-2,1;-0,004;2,0781670410156248;5,987898352050781;-9,052476477050782;30,67316030534351;-1,9012748091603053;2,675763358778626;32,81;-10,84;;;;;;;None;None;None;7;ascending
13136;955,34;21,56;0,28;493,68;1,22;0,007;2,090138049316406;6,2584431396484375;-9,0021982421875;30,131175572519087;-0,4661603053435115;-0,27843511450381686;34,11;-10,79;;;;;;;None;None;None;7;descending
13641;955,36;21,57;0,28;493,51;-0,34;-0,003;2,142810485839844;6,253654736328125;-9,1554271484375;40,62595419847328;0,9465648854961832;0,7480916030534351;33,63;-10,94;0;20,0;30,0;0,0;None;None;None;None;None;7;descending
14142;955,36;21,57;0,28;493,51;0,0;0,001;2,1164742675781247;6,205770703124999;-9,026140258789061;40,25190839694657;0,9083969465648855;0,6793893129770993;33,8;-10,94;37,8;20,0;33,3333;0,0;48;0,603;None;None;None;7;descending
14643;955,38;21,58;0,28;493,33;-0,36;-0,001;2,0877438476562498;6,203376501464843;-9,057264880371093;40,02290076335878;1,2442748091603053;0,6030534351145038;33,72;-10,77;45,0;23,3333;36,6667;0,0;44;0,604;None;None;None;7;descending
15144;955,19;21,46;0,28;494,99;3,31;0,007;2,0877438476562498;6,191405493164062;-8,99501563720703;40,37404580152672;0,16030534351145037;0,9083969465648855;33,84;-10,82;46,800000000000004;23,3333;36,6667;0,0;44;0,0;None;None;None;7;descending
15646;955,09;21,39;0,28;495,87;1,75;-0,003;2,0063409912109376;6,277596752929687;-8,999804040527343;40,343511450381676;-0,0916030534351145;2,0839694656488548;34,25;-10,36;46,800000000000004;23,3333;36,6667;0,0;44;0,603;None;None;None;7;descending
16147;955,18;21,45;0,28;495,08;-1,58;-0,007;1,9919757812499999;6,41646044921875;-8,987833032226561;40,045801526717554;0,8091603053435115;0,33587786259541985;34,88;-10,23;43,2;23,3333;36,6667;0,0;44;0,603;None;None;None;7;descending
16647;955,24;21,5;0,28;494,56;-1,04;0,001;2,1404162841796874;6,150704064941406;-9,052476477050782;40,82442748091603;0,06870229007633588;1,8778625954198473;33,47;-11,07;43,2;23,3333;36,6667;0,0;44;0,603;None;None;None;7;descending
17148;955,24;21,5;0,28;494,56;0,0;0,002;2,147598889160156;6,241683728027343;-9,162609753417968;40,16793893129771;-0,5343511450381679;0,9847328244274809;33,55;-10,96;43,2;23,3333;36,6667;0,0;44;0,603;None;None;None;7;descending
17649;955,28;21,52;0,28;494,21;-0,7;-0,001;2,099714855957031;6,172251879882812;-9,100360510253905;40,458015267175576;-0,24427480916030533;1,4885496183206106;33,46;-10,81;43,2;23,3333;36,6667;0,0;44;0,603;None;None;None;7;descending
18150;955,13;21,42;0,28;495,52;2,61;0,007;2,0733786376953125;6,311115576171875;-9,102754711914063;40,7557251908397;0,7099236641221374;1,0916030534351144;34,06;-10,6;43,2;23,3333;36,6667;0,0;44;0,604;None;None;None;7;descending
18651;955,19;21,47;0,28;494,99;-1,06;-0,007;2,061407629394531;6,234501123046875;-9,150638745117186;40,55725190839695;0,16030534351145037;1,2900763358778626;33,61;-10,55;43,2;23,3333;36,6667;0,0;44;0,602;None;None;None;7;descending
