Timestamp;Pressure (hPa);Temperature (°C);Humidity (%);Bme280 Altitude (m);Speed (m/s);Relative Vertical Acceleration (m/s^2);Absolute Acceleration X (m/s^2);Absolute Acceleration Y (m/s^2);Absolute Acceleration Z (m/s^2);Rate of Rotation X (°/s);Rate of Rotation Y (°/s);Rate of Rotation Z (°/s);Rotation X (°);Rotation Y (°);Motor Rotation (°);Luminance at 0° (lux);Luminance at 120° (lux);Luminance at 240° (lux);Calculated Light Angle (°);Solar Panel Voltage (V);Gps Lat (°);Gps Lon (°);Gps Altitude (m);Errors;Status
55660;976,18;21,5;0,44;313,3;;;;;-1,920149731;;;;;;;;;;;;0;0;None;;ground_level
56669;976,1;21,46;0,44;313,99;;;;;-3,145980981;;;;;;;;;;;;0;0;None;;ground_level
57679;976,26;21,58;0,44;312,61;;;;;-3,253720056;;;;;;;;;;;;0;0;None;;ground_level
58689;976,25;21,58;0,44;312,7;;;;;-3,308786694;;;;;;;;;;;;0;0;None;;ground_level
59700;976,25;21,61;0,43;312,7;;;;;-3,282450476;;;;;;;;;;;;0;0;None;;ground_level
60716;976,37;21,7;0,43;311,67;;;;;-3,174711401;;;;;;;;;;;;0;0;None;;ground_level
61727;976,32;21,67;0,43;312,1;;;;;-3,299209888;;;;;;;;;;;;0;0;None;;ground_level
62737;976,25;21,65;0,43;312,7;;;;;-3,179499805;;;;;;;;;;;;0;0;None;;ground_level
63747;976,36;21,73;0,43;311,76;;;;;-3,107673755;;;;;;;;;;;;0;0;None;;ground_level
64758;976,31;21,7;0,43;312,18;;;;;-3,330334509;;;;;;;;;;;;0;0;None;;ground_level
65774;976,22;21,67;0,43;312,96;;;;;-2,964021655;;;;;;;;;;;;0;0;None;;ground_level
66784;976,34;21,76;0,43;311,93;;;;;-3,145980981;;;;;;;;;;;;0;0;None;;ground_level
67794;976,32;21,75;0,43;312,1;;;;;-3,234566443;;;;;;;;;;;;0;0;None;;ground_level
68804;976,25;21,73;0,43;312,7;;;;;-3,148375183;;;;;;;;;;;;0;0;None;;ground_level
69815;976,38;21,82;0,43;311,58;;;;;-3,15795199;;;;;;;;;;;;0;0;None;;ground_level
70830;976,39;21,85;0,43;311,5;;;;;-3,24414325;;;;;;;;;;;;0;0;None;;ground_level
71840;976,28;21,79;0,43;312,44;;;;;-3,356670728;;;;;;;;;;;;0;0;None;;ground_level
72851;976,4;21,88;0,43;311,41;;;;;-3,12922157;;;;;;;;;;;;0;0;None;;ground_level
73861;976,41;21,9;0,43;311,33;;;;;-3,066972327;;;;;;;;;;;;0;0;None;;ground_level
74872;976,29;21,84;0,43;312,36;;;;;-3,07176073;;;;;;;;;;;;0;0;None;;ground_level
75888;976,4;21,93;0,43;311,41;;;;;-3,21541283;;;;;;;;;;;;0;0;None;;ground_level
76898;976,45;21,98;0,43;310,98;;;;;-3,205836023;;;;;;;;;;;;0;0;None;;ground_level
77909;976,3;21,9;0,43;312,27;;;;;-3,363853333;;;;;;;;;;;;0;0;None;;ground_level
78920;976,41;21,98;0,43;311,33;;;;;-3,366247534;;;;;;;;;;;;0;0;None;;ground_level
79930;976,51;22,06;0,43;310,47;;;;;-3,177105603;;;;;;;;;;;;0;0;None;;ground_level
80941;976,35;21,97;0,43;311,84;;;;;-3,165134595;;;;;;;;;;;;0;0;None;;ground_level
81952;976,44;22,05;0,43;311,07;;;;;-3,239354846;;;;;;;;;;;;0;0;None;;ground_level
82961;976,54;22,13;0,43;310,21;;;;;-4,522646936;;;;;;;;;;;;0;0;None;;ground_level
83972;976,36;22,03;0,43;311,76;;;;;-3,203441821;;;;;;;;;;;;0;0;None;;ground_level
84983;976,45;22,11;0,43;310,98;;;;;-3,069366528;;;;;;;;;;;;0;0;None;;ground_level
85998;976,58;22,2;0,43;309,87;;;;;-3,155557788;;;;;;;;;;;;0;0;None;;ground_level
87008;976,39;22,09;0,43;311,5;;;;;-3,232172241;;;;;;;;;;;;0;0;None;;ground_level
88019;976,47;22,16;0,43;310,81;;;;;-3,18668241;;;;;;;;;;;;0;0;None;;ground_level
89030;976,57;22,23;0,43;309,95;;;;;-3,287238879;;;;;;;;;;;;0;0;None;;ground_level
90040;976,38;22,13;0,42;311,58;;;;;-3,134009973;;;;;;;;;;;;0;0;None;;ground_level
91051;976,48;22,2;0,42;310,73;;;;;-2,935291235;;;;;;;;;;;;0;0;None;;ground_level
92061;976,6;22,3;0,42;309,7;;;;;-3,320757703;;;;;;;;;;;;0;0;None;;ground_level
93072;976,41;22,19;0,42;311,33;;;;;-3,12922157;;;;;;;;;;;;0;0;None;;ground_level
94082;976,5;22,26;0,42;310,55;;;;;-3,189076611;;;;;;;;;;;;0;0;None;;ground_level
95093;976,61;22,35;0,42;309,61;;;;;-3,320757703;;;;;;;;;;;;0;0;None;;ground_level
96109;976,37;22,21;0,42;311,67;;;;;-2,882618799;;;;;;;;;;;;0;0;None;;ground_level
97119;976,47;22,29;0,41;310,81;;;;;-4,015076184;;;;;;;;;;;;0;0;None;;ground_level
98130;976,59;22,38;0,41;309,78;;;;;-0,380678064;;;;;;;;;;;;0;0;None;;ground_level
99140;976,39;22,26;0,41;311,5;;;;;-0,450109912;;;;;;;;;;;;0;0;None;;ground_level
100150;976,48;22,34;0,41;310,73;;;;;0,366312854;;;;;;;;;;;;0;0;None;;ground_level
101164;976,59;22,42;0,41;309,78;;;;;-0,380678064;;;;;;;;;;;;0;0;None;;ground_level
102175;976,37;22,29;0,41;311,67;;;;;-0,05746084;;;;;;;;;;;;0;0;None;;ground_level
103185;976,47;22,37;0,41;310,81;;;;;0,160411511;;;;;;;;;;;;0;0;None;;ground_level
104196;976,59;22,47;0,41;309,78;;;;;0,090979663;;;;;;;;;;;;0;0;None;;ground_level
105206;976,41;22,36;0,42;311,33;;;;;-0,222660754;;;;;;;;;;;;0;0;None;;ground_level
106221;976,49;22,43;0,42;310,64;;;;;-0,840364783;;;;;;;;;;;;0;0;None;;ground_level
107232;976,61;22,53;0,41;309,61;;;;;-3,239354846;;;;;;;;;;;;0;0;None;;ground_level
108243;976,41;22,4;0,41;311,33;;;;;-2,980781067;;;;;;;;;;;;0;0;None;;ground_level
109253;976,48;22,46;0,41;310,73;;;;;-2,997540479;;;;;;;;;;;;0;0;None;;ground_level
110265;976,6;22,56;0,41;309,7;;;;;-3,004723083;;;;;;;;;;;;0;0;None;;ground_level
111280;976,41;22,45;0,41;311,33;;;;;-2,990357874;;;;;;;;;;;;0;0;None;;ground_level
112291;976,48;22,51;0,41;310,73;;;;;-3,016694092;;;;;;;;;;;;0;0;None;;ground_level
113302;976,6;22,61;0,41;309,7;;;;;-2,91374342;;;;;;;;;;;;0;0;None;;ground_level
114312;976,41;22,5;0,4;311,33;;;;;-3,050212915;;;;;;;;;;;;0;0;None;;ground_level
115323;976,49;22,57;0,4;310,64;;;;;-2,952050647;;;;;;;;;;;;0;0;None;;ground_level
116339;976,6;22,66;0,41;309,7;;;;;-2,94247384;;;;;;;;;;;;0;0;None;;ground_level
117349;976,41;22,55;0,41;311,33;;;;;-2,853888379;;;;;;;;;;;;0;0;None;;ground_level
118359;976,49;22,62;0,41;310,64;;;;;-2,975992664;;;;;;;;;;;;0;0;None;;ground_level
119370;976,61;22,71;0,4;309,61;;;;;-3,026270898;;;;;;;;;;;;0;0;None;;ground_level
120380;976,42;22,59;0,4;311,24;;;;;-3,007117285;;;;;;;;;;;;0;0;None;;ground_level
121393;976,5;22,67;0,4;310,55;;;;;-2,916137622;;;;;;;;;;;;0;0;None;;ground_level
122404;976,61;22,75;0,4;309,61;;;;;-2,916137622;;;;;;;;;;;;0;0;None;;ground_level
123414;976,43;22,64;0,4;311,15;;;;;-2,947262244;;;;;;;;;;;;0;0;None;;ground_level
124425;976,51;22,71;0,4;310,47;;;;;-2,980781067;;;;;;;;;;;;0;0;None;;ground_level
125435;976,62;22,79;0,4;309,52;;;;;-2,774879724;;;;;;;;;;;;0;0;None;;ground_level
126449;976,42;22,68;0,4;311,24;;;;;-2,827552161;;;;;;;;;;;;0;0;None;;ground_level
127459;976,51;22,76;0,4;310,47;;;;;-2,820369556;;;;;;;;;;;;0;0;None;;ground_level
128469;976,61;22,84;0,4;309,61;;;;;-2,923320227;;;;;;;;;;;;0;0;None;;ground_level
129479;976,42;22,73;0,4;311,24;;;;;-2,959233252;;;;;;;;;;;;0;0;None;;ground_level
130489;976,5;22,8;0,4;310,55;;;;;-2,983175269;;;;;;;;;;;;0;0;None;;ground_level
131503;976,61;22,89;0,4;309,61;;;;;-2,997540479;;;;;;;;;;;;0;0;None;;ground_level
132513;976,41;22,77;0,4;311,33;;;;;-3,016694092;;;;;;;;;;;;0;0;None;;ground_level
133524;976,5;22,85;0,4;310,55;;;;;-2,772485522;;;;;;;;;;;;0;0;None;;ground_level
134534;976,61;22,94;0,4;309,61;;;;;-2,952050647;;;;;;;;;;;;0;0;None;;ground_level
135544;976,42;22,82;0,4;311,24;;;;;-2,916137622;;;;;;;;;;;;0;0;None;;ground_level
136560;976,53;22,92;0,4;310,3;;;;;-3,064578125;;;;;;;;;;;;0;0;None;;ground_level
137570;976,59;22,97;0,4;309,78;;;;;-2,920926025;;;;;;;;;;;;0;0;None;;ground_level
138580;976,4;22,86;0,4;311,41;;;;;-2,997540479;;;;;;;;;;;;0;0;None;;ground_level
139591;976,54;22,98;0,4;310,21;;;;;-2,966415857;;;;;;;;;;;;0;0;None;;ground_level
140601;976,6;23,03;0,4;309,7;;;;;-2,944868042;;;;;;;;;;;;0;0;None;;ground_level
141614;976,41;22,91;0,4;311,33;;;;;-2,920926025;;;;;;;;;;;;0;0;None;;ground_level
142625;976,57;23,03;0,4;309,95;;;;;-2,92810863;;;;;;;;;;;;0;0;None;;ground_level
143635;976,61;23,08;0,4;309,61;;;;;-2,887407202;;;;;;;;;;;;0;0;None;;ground_level
144645;976,42;22,97;0,4;311,24;;;;;-2,961627454;;;;;;;;;;;;0;0;None;;ground_level
145656;976,57;23,08;0,4;309,95;;;;;-2,944868042;;;;;;;;;;;;0;0;None;;ground_level
146670;976,62;23,13;0,4;309,52;;;;;-3,040636108;;;;;;;;;;;;0;0;None;;ground_level
147681;976,43;23,01;0,4;311,15;;;;;-2,966415857;;;;;;;;;;;;0;0;None;;ground_level
148691;976,58;23,13;0,4;309,87;;;;;-2,853888379;;;;;;;;;;;;0;0;None;;ground_level
149701;976,62;23,18;0,4;309,52;;;;;-2,952050647;;;;;;;;;;;;0;0;None;;ground_level
150712;976,42;23,06;0,4;311,24;;;;;-2,978386865;;;;;;;;;;;;0;0;None;;ground_level
151726;976,53;23,16;0,4;310,3;;;;;-2,870647791;;;;;;;;;;;;0;0;None;;ground_level
152736;976,58;23,21;0,4;309,87;;;;;-2,990357874;;;;;;;;;;;;0;0;None;;ground_level
153746;976,38;23,09;0,4;311,58;;;;;-2,937685437;;;;;;;;;;;;0;0;None;;ground_level
154756;976,53;23,22;0,4;310,3;;;;;-2,983175269;;;;;;;;;;;;0;0;None;;ground_level
155766;976,58;23,27;0,4;309,87;;;;;-3,007117285;;;;;;;;;;;;0;0;None;;ground_level
156779;976,4;23,16;0,4;311,41;;;;;-2,94247384;;;;;;;;;;;;0;0;None;;ground_level
157789;976,49;23,24;0,4;310,64;;;;;-2,856282581;;;;;;;;;;;;0;0;None;;ground_level
158799;976,56;23,29;0,4;310,04;;;;;-3,033453503;;;;;;;;;;;;0;0;None;;ground_level
159810;976,39;23,19;0,4;311,5;;;;;-2,966415857;;;;;;;;;;;;0;0;None;;ground_level
160820;976,44;23,25;0,39;311,07;;;;;-3,007117285;;;;;;;;;;;;0;0;None;;ground_level
161834;976,51;23,32;0,39;310,47;;;;;-2,935291235;;;;;;;;;;;;0;0;None;;ground_level
162845;976,37;23,23;0,39;311,67;;;;;-3,035847705;;;;;;;;;;;;0;0;None;;ground_level
163854;976,36;23,25;0,39;311,76;;;;;-2,978386865;;;;;;;;;;;;0;0;None;;ground_level
164864;976,46;23,33;0,39;310,9;;;;;-2,885013;;;;;;;;;;;;0;0;None;;ground_level
