Timestamp;Pressure (hPa);Temperature (°C);Humidity (%);Bme280 Altitude (m);Speed (m/s);Relative Vertical Acceleration (m/s^2);Absolute Acceleration X (m/s^2);Absolute Acceleration Y (m/s^2);Absolute Acceleration Z (m/s^2);Rate of Rotation X (°/s);Rate of Rotation Y (°/s);Rate of Rotation Z (°/s);Rotation X (°);Rotation Y (°);Motor Rotation (°);Luminance at 0° (lux);Luminance at 120° (lux);Luminance at 240° (lux);Calculated Light Angle (°);Solar Panel Voltage (V);Gps Lat (°);Gps Lon (°);Gps Altitude (m);Errors;Status
1011;955,43;21,68;0,25;492,9;;;;;-9,126696728515624;;;;;;;;;;;;None;None;None;;ground_level
2021;955,25;21,56;0,25;494,47;;;;;-9,885658654785155;;;;;;;;;;;;None;None;None;;ground_level
3031;955,3;21,6;0,25;494,03;;;;;-8,894459167480468;;;;;;;;;;;;None;None;None;;ground_level
4041;955,37;21,66;0,25;493,42;;;;;-8,966285217285156;;;;;;;;;;;;None;None;None;;ground_level
5050;955,2;21,55;0,25;494,91;;;;;-8,90643017578125;;;;;;;;;;;;None;None;None;;ground_level
6078;955,26;21,6;0,26;494,38;;;;;-9,09796630859375;;;;;;;;;;;;None;None;None;;ground_level
7088;955,34;21,67;0,26;493,68;;;;;-8,185775476074218;;;;;;;;;;;;None;None;None;;ground_level
8099;955,32;21,66;0,26;493,86;;;;;-8,1594392578125;;;;;;;;;;;;None;None;None;;ground_level
9109;955,35;21,68;0,27;493,6;;;;;-9,392453112792968;;;;;;;;;;;;None;None;None;;ground_level
10119;955,38;21,73;0,29;493,33;;;;;-8,259995727539062;;;;;;;;;;;;None;None;None;;ground_level
11133;955,25;21,66;0,3;494,47;;;;;-4,8506525634765625;;;;;;;;;;;;None;None;None;;ground_level
12143;955,29;21,7;0,3;494,12;-0,35;None;1,7549498168945312;5,379771130371093;-10,019733947753906;24,444152671755727;-5,038679389312977;-7,240267175572519;27,87;-8,77;;;;;;;None;None;None;7,F;ascending
12644;955,41;21,85;0,29;493,07;-2,1;-0,003;2,6288334228515624;5,106832141113281;-9,275137231445312;15,787664122137404;1,060557251908397;-6,927290076335877;27,91;-13,94;;;;;;;None;None;None;7;ascending
13145;955,4;21,84;0,29;493,16;0,18;0,005;2,020706201171875;4,88417138671875;-10,127473022460936;71,57392366412215;-37,710435114503824;-6,965458015267176;25,31;-10,19;;;;;;;None;None;None;7;descending
13649;955,41;21,84;0,29;493,07;-0,18;-0,001;2,128445275878906;4,656722229003906;-9,267954626464844;61,47328244274809;-16,0381679389313;13,534351145038167;26,09;-11,6;0;3,3333;0,0;0,0;None;None;None;None;None;7;descending
14150;955,41;21,84;0,29;493,07;0,0;0,0;1,9847931762695312;4,163516687011718;-11,257536206054686;45,267175572519086;-3,4580152671755724;1,5419847328244274;20,01;-9,39;0;3,3333;0,0;0,0;None;0,0;None;None;None;7;descending
14651;955,42;21,84;0,28;492,99;-0,16;-0,0;2,272097375488281;5,032611889648437;-10,43153663330078;22,49618320610687;-17,870229007633586;5,061068702290076;25,24;-11,1;0;3,3333;0,0;0,0;None;0,606;None;None;None;7;descending
