Timestamp;Pressure (hPa);Temperature (°C);Humidity (%);Bme280 Altitude (m);Speed (m/s);Relative Vertical Acceleration (m/s^2);Absolute Acceleration X (m/s^2);Absolute Acceleration Y (m/s^2);Absolute Acceleration Z (m/s^2);Rate of Rotation X (°/s);Rate of Rotation Y (°/s);Rate of Rotation Z (°/s);Rotation X (°);Rotation Y (°);Motor Rotation (°);Luminance at 0° (lux);Luminance at 120° (lux);Luminance at 240° (lux);Calculated Light Angle (°);Solar Panel Voltage (V);Gps Lat (°);Gps Lon (°);Gps Altitude (m);Errors;Status
1011;956,05;19,58;0,36;487,49;;;;;-9,200916979980468;;;;;;;;;;;;None;None;None;;ground_level
2033;956,04;19,59;0,36;487,57;;;;;-9,160215551757812;;;;;;;;;;;;None;None;None;;ground_level
3043;956,05;19,6;0,36;487,49;;;;;-9,203311181640624;;;;;;;;;;;;None;None;None;;ground_level
4053;956,03;19,59;0,36;487,66;;;;;-9,330203869628905;;;;;;;;;;;;None;None;None;;ground_level
5062;956,04;19,6;0,36;487,57;;;;;-9,069235888671875;;;;;;;;;;;;None;None;None;;ground_level
6073;956,04;19,61;0,36;487,57;;;;;-9,215282189941405;;;;;;;;;;;;None;None;None;;ground_level
7083;956,03;19,6;0,36;487,66;;;;;-9,265560424804686;;;;;;;;;;;;None;None;None;;ground_level
8093;956,04;19,62;0,36;487,57;;;;;-9,5001921875;;;;;;;;;;;;None;None;None;;ground_level
9103;956,05;19,62;0,36;487,49;;;;;-9,22485899658203;;;;;;;;;;;;None;None;None;;ground_level
10113;956,04;19,62;0,36;487,57;;;;;-9,299079248046874;;;;;;;;;;;;None;None;None;;ground_level
11123;956,04;19,63;0,36;487,57;;;;;-9,270348828125;;;;;;;;;;;;None;None;None;;ground_level
12137;956,05;19,64;0,36;487,49;-0,08;None;0,5099649536132812;6,196193896484375;-9,306261853027344;28,657893129770994;-0,5577633587786259;-0,4005725190839695;33,62;-2,61;;;;;;;None;None;None;7,F,1,2;ascending
12638;956,03;19,64;0,36;487,66;0,34;0,001;0,5913678100585937;6,177040283203125;-9,066841687011719;29,612091603053432;-0,8249389312977099;-0,40820610687022907;34,21;-3,09;;;;;;;None;None;None;7,1,2;ascending
13139;956,04;19,65;0,36;487,57;-0,18;-0,001;0,5363011718749999;6,208164904785156;-9,272743029785156;29,963236641221375;-1,0463129770992365;-0,44637404580152684;33,76;-2,75;;;;;;;None;None;None;7,1,2;ascending
13640;956,05;19,65;0,36;487,49;-0,16;0,0;0,5147533569335937;6,263231542968749;-9,241618408203124;29,68842748091603;-0,6799007633587787;-0,5532442748091604;34,09;-2,64;;;;;;;None;None;None;7,1,2;ascending
14141;956,05;19,65;0,36;487,49;0,0;0,0;0,5099649536132812;6,189011291503906;-9,191340173339842;29,482320610687022;-0,8020381679389313;-0,5150763358778627;33,91;-2,64;;;;;;;None;None;None;7,1,2;ascending
14642;956,05;19,65;0,35;487,49;0,0;0,0;0,5363011718749999;6,169857678222656;-9,366116894531249;30,283847328244274;-1,0463129770992365;-0,33187022900763363;33,33;-2,74;;;;;;;None;None;None;7,1,2;ascending
15143;956,02;19,64;0,35;487,75;0,52;0,001;0,5147533569335937;6,193799694824218;-9,323021264648437;29,87926717557252;-0,9547099236641222;-0,34713740458015274;33,56;-2,63;;;;;;;None;None;None;7,1,2;ascending
15644;956,03;19,65;0,35;487,66;-0,18;-0,001;0,5123591552734374;6,1650692749023435;-9,205705383300781;29,68842748091603;-0,8173053435114505;-0,3700381679389314;33,77;-2,65;;;;;;;None;None;None;7,1,2;ascending
16145;956,05;19,66;0,35;487,49;-0,34;-0,0;0,4908113403320312;6,198588098144531;-9,253589416503905;29,276213740458015;-0,8096717557251909;-0,49217557251908406;33,78;-2,52;;;;;;;None;None;None;7,1,2;ascending
16646;956,05;19,66;0,35;487,49;0,0;0,001;0,6057330200195312;6,1818286865234375;-9,251195214843749;29,886900763358778;-0,8478396946564886;-0,36240458015267185;33,7;-3,12;;;;;;;None;None;None;7,1,2;descending
17149;956,06;19,66;0,35;487,4;-0,18;-0,0;0,5123591552734374;6,174646081542968;-9,234435803222656;40,282442748091604;0,7175572519083969;0,7709923664122137;33,73;-2,64;0;0;0;0;0;None;None;None;None;1,7,2;descending
17649;956,05;19,66;0,35;487,49;0,18;0,001;0,5530605834960938;6,210559106445312;-9,251195214843749;40,14503816793893;0,8091603053435115;0,7480916030534351;33,83;-2,84;0;0;0;0;0;0,612;None;None;None;1,7,2;descending
18150;956,01;19,64;0,35;487,84;0,7;0,001;0,5506663818359374;6,196193896484375;-9,313444458007812;38,88549618320611;0,5419847328244275;0,5801526717557252;33,59;-2,82;0;0;0;0;0;0,0;None;None;None;2,7,1;descending
18652;956,03;19,65;0,35;487,66;-0,36;-0,002;0,469263525390625;6,1076084350585935;-9,299079248046874;37,93129770992366;1,5267175572519085;0,2366412213740458;33,26;-2,42;0;0;0;0;0;0,0;None;None;None;7,1;descending
19153;956,03;19,66;0,35;487,66;0,0;0,001;0,5578489868164063;6,157886669921875;-9,277531433105468;40,81679389312977;0,3435114503816794;0,9236641221374046;33,53;-2,87;0;0;0;0;0;0,611;None;None;None;7,1;descending
19654;956,03;19,66;0,35;487,66;0,0;0,0;0,5985504150390625;6,179434484863281;-9,18655177001953;38,45038167938932;1,6564885496183206;0,6183206106870229;33,87;-3,09;0;0;0;0;0;0,0;None;None;None;2,7,1;descending
20157;956,04;19,67;0,35;487,57;-0,18;-0,0;0,4740519287109375;6,007051965332031;-9,284714038085937;39,48854961832061;0,5038167938931297;0,5725190839694656;32,87;-2,45;0;0;0;0;0;0,61;None;None;None;7,1;descending
20658;956,02;19,65;0,35;487,75;0,36;0,001;0,5099649536132812;6,248866333007812;-9,212887988281249;37,83206106870229;1,5954198473282444;0,06870229007633588;34,11;-2,62;0;0;0;0;0;0,61;None;None;None;1,2,7,1,2;descending
21159;955,98;19,63;0,35;488,1;0,7;0,001;0,5339069702148437;6,174646081542968;-9,275137231445312;41,48091603053435;0,4961832061068702;1,1908396946564885;33,61;-2,74;0;0;0;0;0;0,611;None;None;None;1,7,2;descending
21660;956,0;19,65;0,35;487,92;-0,36;-0,002;0,51714755859375;6,272808349609375;-9,265560424804686;40,70992366412214;0,31297709923664124;0,9541984732824428;34,06;-2,65;0;0;0;0;0;0,611;None;None;None;1,7,2;landed
22161;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
23165;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
24170;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
25176;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
26180;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
27190;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
28194;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
29198;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
30202;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
31206;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
32217;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
33221;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
34225;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
35229;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
36233;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
37243;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
38247;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
39251;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
40255;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
41260;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
42268;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
43272;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
44276;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
45281;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
46285;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
47292;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
48297;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
49301;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
50305;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
51309;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
52317;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
53321;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
54326;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
55330;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
56336;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
57345;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
58349;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
59353;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
60357;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
61362;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
62369;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
63373;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
64378;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
65382;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
66386;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
67394;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
68398;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
69402;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
70407;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
71411;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
72419;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
73423;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
74427;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
75431;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
76435;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
77443;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
78447;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
79452;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
80456;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
